PJ_1_Pre,PJ_1_Post,PJ_2_Pre,PJ_2_Post,PJ_5_Pre,PJ_5_Post,PJ_6_Pre,PJ_6_Post,PJ_12_Pre,PJ_12_Post,PJ_17_Pre,PJ_17_Post,PJ_19_Pre,PJ_19_Post,PJ_20_Pre,PJ_20_Post,PJ_21_Pre,PJ_21_Post,PJ_22_Pre,PJ_22_Post,PJ_25_Pre,PJ_25_Post,PJ_27_Pre,PJ_27_Post,PJ_29_Pre,PJ_29_Post,PJ_37_Pre,PJ_37_Post,PJ_42_Pre,PJ_42_Post,PJ_43_Pre,PJ_43_Post,PJ_44_Pre,PJ_44_Post,PJ_45_Pre,PJ_45_Post,PJ_47_Pre,PJ_47_Post,PJ_49_Pre,PJ_49_Post
CCNE1,5.01397,1.59629,0.804487,0.976765,8.33922,3.87765,2.06697,1.36106,12.9934,3.47271,10.9659,3.1257,19.0581,2.86342,23.0275,7.63914,6.94758,2.11848,2.14721,3.91699,2.91784,1.04934,15.2138,3.51801,4.21851,2.18214,1.75254,4.78116,3.48969,1.46927,43.3394,18.6091,1.64365,0.788022,4.43628,1.60071,8.50414,1.58498,7.76491,1.48193
CD27,2.86952,3.04693,4.74734,5.12804,5.85151,4.01247,3.40187,3.46937,0.788145,1.30795,6.22123,5.85693,2.0744,10.5683,17.5144,10.1443,2.95302,5.22235,2.79913,3.70195,4.87606,3.06404,6.35051,4.26148,6.69013,17.9099,4.81489,6.40976,10.8032,6.59697,6.13819,4.80077,5.79314,4.61743,3.78237,3.23645,2.56758,2.85818,3.61078,5.09228
PIK3R1,3.17577,9.03856,4.89943,5.75129,3.75209,7.70078,6.03196,9.75492,5.61986,8.12134,3.22895,11.231,7.37617,7.8374,8.19666,7.23041,3.04985,7.43456,10.4494,2.44974,8.4838,20.3948,4.63614,8.70092,6.97568,16.038,3.04914,5.68969,2.60183,5.34492,7.42035,19.9063,8.35607,15.7563,4.47788,8.84126,8.38598,15.1599,6.96222,19.1369
TREM1,0.112761,1.60638,0.261395,0.87763,0.476782,2.64972,1.27785,0.895837,0.124875,0.782638,1.20659,3.83906,2.17495,1.11288,0.180166,3.28445,0.554269,1.60883,0.394536,2.05079,0.165336,0.901551,0.413552,0.190096,1.01181,3.1255,0.741173,1.42707,0.257972,2.17943,0.931731,2.71105,2.25042,1.11458,2.34708,0.632289,2.32356,1.04184,4.50467,2.44042
TNFRSF8,0.137295,0.472126,0.502883,0.550517,0.535862,1.06692,0.295543,0.12643,0.00821191,0.100298,0.156983,0.230935,0.0746919,0.498499,0.596067,0.821962,0.0697198,0.521691,0.0632717,0.386495,0.255507,0.345115,1.04834,0.328519,0.309909,0.413688,0.513333,0.36825,0.236418,0.151219,0.592647,0.638153,0.97213,0.203496,0.852614,0.266025,0.388928,0.140636,0.869036,0.89266
E2F3,6.44997,2.89349,4.46262,4.66472,12.4748,7.33733,3.77905,3.07372,8.30847,4.75807,5.27577,3.34392,12.6179,5.18702,3.64933,2.89923,3.92355,4.12864,4.74018,4.58257,5.38347,4.36242,8.62848,2.44774,4.94911,4.61523,6.58149,12.7944,7.26931,4.34429,4.92617,4.09618,6.73793,4.26512,5.60844,4.6819,3.50768,2.11579,6.33259,3.68607
CD28,0.173068,0.206,0.0385991,0.265568,0.147009,0.213956,0.150257,0.133191,0.140979,0.299257,0.173294,0.574954,0.180156,1.33558,1.30668,1.04728,0.129537,0.524463,0.134656,0.0689372,0.594243,0.764707,0.146553,0.0665547,0.318785,2.27283,0.256152,0.742624,0.151931,0.584652,0.0977051,0.454679,1.03105,0.340282,0.400672,0.175655,0.155279,0.321667,0.378337,1.27985
IL18,4.04908,3.39498,0.494614,3.76432,11.4314,2.92192,0.668379,0.53653,0.895252,2.9354,0.588304,4.67478,4.36205,7.31297,3.90216,3.11915,0.816191,2.35213,3.49309,1.00187,3.42369,5.53029,0.557847,1.22495,1.21621,7.22349,1.08334,1.57424,3.8259,4.46592,2.46126,4.19549,4.38789,6.28538,3.23979,5.97402,1.08532,1.8309,2.25559,2.93753
MS4A4A,1.18891,2.55532,0.330689,1.56716,3.93278,3.03104,0.672133,1.16971,0.940389,6.1608,0.307171,5.00879,4.20859,4.53138,7.97672,4.24232,1.25012,8.4776,4.01912,0.885905,3.01443,7.27183,1.04821,1.32432,1.42176,9.62808,1.36913,4.19749,0.731796,3.86005,1.2529,5.79217,6.59952,4.35412,2.12116,2.3169,1.14696,1.5625,5.43901,6.43299
STAT4,1.12316,1.77723,0.341143,1.65265,1.80514,3.0535,0.667081,1.21901,0.421371,1.9922,0.364414,3.09441,1.78143,10.3657,5.09218,5.87645,0.37918,3.79248,1.5281,0.424969,2.35925,5.6913,1.5195,1.00651,1.74099,9.99365,0.569347,4.19829,0.556297,1.68385,0.697731,2.96221,2.53263,2.12927,1.29822,1.51153,0.823421,1.48903,1.05613,7.76603
TNFSF8,0.346344,2.07106,0.248727,1.24079,0.884151,1.46992,0.663763,0.696559,0.53322,2.11282,0.331489,3.94534,1.57656,7.61267,2.82411,3.3626,0.439861,2.3921,1.44869,0.362137,1.31438,4.91834,0.496389,0.493095,0.732984,6.0353,0.641309,2.22533,0.510795,1.907,0.585799,3.1058,2.04752,1.69698,0.83419,1.18111,0.806801,1.45677,1.36797,4.67825
GIMAP6,0.967121,1.31058,0.216842,1.37977,2.27573,1.19035,0.396974,0.338709,0.427997,1.207,0.175311,2.45329,1.20391,2.12464,4.56141,3.24822,0.559534,2.29388,1.4345,0.505611,1.78143,1.36143,1.00217,1.19399,1.26711,3.81226,0.697395,1.16895,0.961906,0.883893,0.41065,1.0902,2.48097,0.913338,0.972865,0.65288,0.493437,0.236218,1.31892,3.4868
MAP3K8,4.95654,22.395,6.1208,12.9808,14.0302,15.1496,11.2893,7.72878,13.2843,17.3682,4.3575,18.165,7.89698,14.6335,6.86443,16.4088,5.95546,8.90455,7.6933,5.55359,11.6531,17.9827,8.04203,4.88917,7.51711,23.3525,10.121,11.7275,7.26539,12.1996,5.13433,15.8786,23.9079,13.7696,14.2959,17.1284,11.2838,18.7755,14.0248,20.3043
DAB2,8.00276,16.1798,1.87327,13.2658,9.30801,7.90841,7.91226,13.2745,5.49449,20.7913,1.47904,12.3229,5.90334,10.5639,19.6985,18.9893,4.22462,24.6442,11.1579,6.80761,14.3414,19.5502,6.29455,12.5517,7.46647,22.2577,7.86078,11.2884,5.47054,21.8051,6.06327,18.6124,28.3356,12.7124,13.7334,11.5944,11.5272,9.87204,17.404,22.2986
CD40,5.83094,3.33129,2.62402,3.99375,4.71118,3.27286,5.22161,4.7871,1.79622,1.9402,1.94068,7.03369,4.17916,2.97663,7.63704,10.1997,0.791301,3.10536,4.13888,4.24779,3.42356,2.74444,8.44839,3.51666,3.78958,7.09227,0.827046,1.92243,5.41251,3.98164,2.95276,2.67871,2.91228,1.84186,2.75,2.08368,0.777719,0.870551,2.33901,3.43411
CD68,26.1693,49.0468,5.73893,39.8581,73.426,49.0455,18.2852,10.4055,16.1078,89.8366,7.72626,47.3079,35.1345,52.1559,64.9022,96.0004,18.9691,129.968,18.3177,25.6695,29.7637,37.2816,14.573,16.5396,35.2364,164.08,34.7779,67.3639,20.2527,91.0289,19.3372,57.9608,48.3691,31.7905,46.6725,35.1354,22.8903,39.0411,76.4491,56.9286
CD70,0.0263131,0.0758906,0.0821597,0.0623461,0.0625829,0.0297009,0,0,0.02046,0.0881975,0.0190792,0.109595,0.0338355,0.155252,0.224719,0.497518,0.0330871,0.304456,0.0716553,0,0.124823,0.106155,0,0.0157405,0.163787,0.36214,0.017401,0.247415,0.0577486,0.171255,0.0519923,0.0460858,0.0682272,0.0724303,0,0,0.0225352,0,0.0113958,0.191546
VTCN1,12.8345,9.12304,0.75788,6.08199,7.0857,7.88149,0.817684,0.652793,29.1631,23.003,1.48029,1.85573,10.6632,1.20324,4.44956,4.49138,27.1513,29.2919,2.94816,1.22377,1.8549,0.853132,0.222388,0.32222,1.22997,0.718095,6.35024,0.130267,7.54246,3.49274,5.26117,1.19965,10.1818,11.9623,9.61606,6.82268,5.52437,5.73463,0.512643,0.188256
CD6,0.445971,0.636625,1.3081,0.979833,0.458028,1.11737,0.312289,0.0889808,0.420326,0.622845,0.218027,1.47755,0.443132,3.78748,2.96817,3.06627,0.312253,1.02842,0.441622,0.211958,1.22768,1.06315,0.376619,0.157643,1.21674,3.88797,0.428979,1.44014,0.278798,0.73883,0.205613,0.443802,0.670162,0.590548,0.268235,0.46152,0.0983788,0.356821,0.395067,1.36362
CDC20,10.1448,1.20229,4.76389,1.3749,19.758,2.66511,5.36191,1.05397,5.44549,1.45315,7.95066,2.81273,21.5873,2.96722,6.49363,3.51056,23.2925,5.7969,1.93982,9.01732,5.31552,1.92124,13.9142,6.70899,9.40351,1.92769,9.76548,9.95593,5.63858,2.3897,13.0709,4.9414,3.85228,1.11534,3.96261,0.504019,4.88394,0.47778,8.24985,2.03923
ADGRE1,0.41812,0.281903,0.050865,0.442595,2.39789,0.349368,0.257867,0.253522,0.118223,0.36402,0.0433103,1.31743,0.64239,0.260581,0.504071,0.635127,0.0853508,0.285149,0.360809,0.12491,0.458514,0.205924,0.27095,0.146174,0.318687,0.517385,0.154412,0.429739,0.243114,0.537188,0.394844,0.713292,0.66879,0.239155,0.305172,0.147301,0.120913,0.149607,0.649073,0.46556
SAMSN1,0.776451,3.40388,0.260621,1.96482,6.26958,6.39349,0.707815,1.15724,0.703354,3.35729,0.410984,5.2956,4.40305,7.44291,3.87197,4.94028,0.756664,3.70761,1.94949,0.811857,1.19707,4.96492,0.814015,1.19834,2.50974,12.4904,0.944787,5.92275,0.879293,2.98405,0.72721,3.13459,3.795,3.86315,1.40952,1.51199,0.844517,2.20339,2.00081,4.81378
CD300A,0.826627,2.4915,0.80222,2.66089,2.32029,5.30414,1.63563,0.65972,0.636962,3.15347,0.701969,6.43613,2.77706,3.59715,4.75063,5.54059,1.11903,3.08212,1.78462,2.35158,1.7381,3.23272,1.09896,1.31864,2.35085,6.06282,1.36417,2.56168,2.22931,3.62544,2.0895,2.03473,4.50879,2.2959,3.44785,1.53676,2.11746,1.45675,5.23778,4.01765
POLD1,3.19982,1.22422,3.86136,1.84513,3.44929,2.92999,3.16685,0.991853,2.64356,1.76931,3.62817,2.31615,2.83403,1.78841,2.90064,2.46225,5.09106,2.41569,1.08477,2.97446,2.79963,1.09332,4.1662,2.41708,5.0084,2.10426,3.39541,3.68413,3.29989,1.76381,4.45806,2.22314,1.96838,1.12346,2.8872,1.00039,3.15288,2.38764,2.82463,1.1059
TNFAIP3,9.20549,61.584,15.835,26.4775,68.2586,66.6715,28.6434,53.4847,8.74014,25.9635,11.3482,68.9242,40.2608,75.3084,20.4433,66.4869,9.5076,24.316,15.486,11.5729,17.3952,57.6686,14.5808,30.4475,26.8405,113.067,13.982,45.011,10.8312,42.2727,7.45933,57.272,43.5104,26.4972,17.8138,21.9117,29.3602,41.8363,20.2218,46.9424
IFIT1,35.0586,10.9427,11.1905,13.0329,29.3267,11.4148,19.9962,18.0079,34.8385,27.6572,2.34718,16.222,17.5366,1.88422,10.0954,6.34201,25.2677,52.6843,42.5177,2.55452,21.5648,11.8451,8.88583,13.4299,3.70871,11.8607,19.4223,43.0109,8.54446,12.0107,13.2442,20.8829,23.2689,11.5286,1.8486,9.10838,2.87698,3.7101,20.3302,12.4669
TNFRSF11A,0.516944,0.389409,0.213117,0.386012,0.269674,0.671911,0.111965,0.075012,0.217508,0.282536,0.12981,1.19772,0.512215,0.399633,0.40384,1.0588,0.500886,0.928171,0.224262,0.280788,0.498944,0.503773,0.346869,0.481926,0.244764,0.6989,0.192388,0.185871,0.351653,0.464617,0.507623,0.576163,1.02705,0.22484,0.225582,0.221142,0.252986,0.135642,0.389612,0.637139
TWIST2,4.43732,8.16951,0,4.5934,0.187849,3.58628,1.90883,1.80507,1.83401,12.5989,0.0312371,1.43547,0.110794,1.60983,0.719843,3.55184,0.575572,1.76381,1.02066,2.74776,0.378075,0.877695,0.0571708,1.6429,1.45572,0.171032,0.199427,0.37976,0.0567289,1.03743,0.280909,0.603628,2.06653,2.09007,3.53562,0.354765,0.405851,0.91987,0.4851,1.72484
RPS6KB1,11.9203,6.71805,2.15169,4.83578,4.51992,4.56963,8.47173,7.59214,7.78629,5.63939,5.01941,5.98548,5.87496,4.70729,7.03641,5.07359,8.43666,6.85266,5.82561,6.9921,5.83333,6.4338,4.74359,5.78529,4.55803,6.8331,5.44784,5.28284,6.87144,7.02795,7.22621,6.48591,6.03853,6.6229,7.21581,7.9912,4.47504,4.28235,4.65509,6.84721
GPSM3,3.37139,3.75851,6.10348,7.47296,4.31833,6.38376,1.71351,1.55129,1.45162,3.9263,1.14662,7.10104,1.83575,6.63491,13.2524,13.4337,2.42345,7.40883,1.8302,3.36437,5.74083,3.74809,2.47748,1.74743,5.61498,15.6487,2.14237,6.44504,2.27516,5.83936,1.69252,3.01972,6.0366,3.55187,4.65327,2.58533,1.59886,2.25911,5.517,8.03857
CEACAM3,0,0.145256,0.0428879,0.520721,0.228681,0.333337,0.10483,0.0657731,0.0373808,0.084406,0.0199189,0.200233,0.203117,0.156682,0.0612026,0.295945,0.0604508,0.0855766,0.0448854,0.0789906,0.0781899,0.110827,0.0145824,0.0410831,0.128247,0.19631,0.0227085,0.204491,0.0904353,0.138564,0.0325684,0.144343,0.240401,0.122879,0.196047,0.0199608,0.0117635,0.0504576,0.184409,0.511052
CHUK,3.02978,2.18107,1.98945,2.33257,2.32571,1.42522,1.79527,2.13643,5.49619,4.00415,3.35975,2.62039,6.07451,2.91571,2.57916,2.16183,1.68121,2.51495,3.1732,2.31116,2.88004,3.37398,3.3729,2.09849,2.09256,3.19828,2.47028,2.95895,2.19128,2.38563,1.68938,2.10931,2.80892,2.88966,2.35157,4.24612,2.75212,2.76104,3.57149,2.7289
CASP9,1.35241,4.2568,1.50898,1.61487,2.02323,3.5921,3.60252,8.52495,1.53281,2.10007,4.07202,5.62091,0.589504,1.51474,2.5534,3.37652,2.88473,2.24419,1.45234,2.26492,1.72167,2.27797,3.29338,5.62651,3.71309,2.53995,2.61233,2.40078,1.54274,1.98418,2.87455,3.00433,1.62951,1.20935,2.46398,2.20592,1.50506,1.59989,2.24687,2.25573
EOMES,0.330353,0.497565,0.0429788,0.370496,0.357935,0.478538,0.210105,0.0197738,0.055655,0.430614,0.0119767,0.716632,0.297356,1.35573,1.57829,0.861877,0.138466,0.539051,0.377837,0.0748403,0.590279,0.901823,0.292266,0.138332,0.949814,2.57638,0.145643,0.509075,0.232005,0.6056,0.404704,0.491805,0.556772,0.257647,0.338898,0.224034,0.188615,0.182032,0.529364,1.6032
LILRA1,0.134683,0.350679,0.148939,0.50527,0.645109,0.285044,0.133247,0.174669,0.0916336,0.501597,0.236003,1.08102,0.382453,0.445888,0.733476,1.01664,0.243449,0.604362,0.275075,0.352061,0.388666,0.457322,0.110218,0.2887,0.414181,0.819864,0.207822,0.255037,0.39904,0.81813,0.0798365,0.186746,0.291016,0.339839,0.540654,0.141356,0.201856,0.319531,0.768003,0.381277
LILRB2,2.22428,3.44884,1.06403,6.24414,10.392,5.75485,1.56362,0.714706,1.00649,5.3481,1.35229,5.16575,4.63333,5.84797,8.42779,14.4918,1.38184,4.83875,1.50205,1.86167,3.18298,2.99683,1.51164,1.41274,3.95106,7.05317,2.56103,6.7065,1.75319,4.79684,0.793394,2.87782,4.71251,3.54851,4.15691,1.33594,1.18549,1.46047,6.40221,7.2134
LILRB4,1.75592,2.10096,0.476755,2.96359,7.33876,2.96941,0.490947,0.441739,1.01906,5.46621,0.244489,3.35864,2.27427,3.5435,5.85382,7.09717,1.26398,6.79214,1.3167,1.25393,2.04922,2.48451,0.894939,0.993307,2.84843,11.8979,0.950839,3.44965,1.79559,4.72863,0.796991,3.60468,3.0023,2.88079,1.20033,1.18341,0.757359,1.59215,2.55142,1.41511
IL18R1,0.545665,2.07614,0.144388,1.02555,2.32066,1.84254,1.9607,1.68844,1.38073,2.15965,0.536478,1.406,1.05844,2.75023,1.64151,2.17569,0.322719,1.62163,2.42789,0.850986,1.9348,3.85801,2.75661,1.15076,0.830626,4.82706,0.483174,1.4856,0.539915,1.20386,0.917372,1.9519,2.12228,2.10664,1.02303,1.37986,1.798,3.64802,2.77175,3.72532
PIK3CG,0.896948,1.73957,0.574695,2.48148,1.76953,1.65032,0.564965,0.524468,0.465626,2.24759,0.312023,7.10726,1.88673,5.81627,5.87553,8.81813,0.508514,2.80797,1.50224,0.639689,2.36356,4.12475,0.956373,1.95548,2.94369,19.0272,0.692588,5.40111,1.2471,3.22591,0.598276,2.78322,3.32723,1.84459,1.24876,1.27583,0.994626,0.880872,1.77612,4.1579
DEPTOR,2.56695,6.49736,25.0141,7.47285,5.3155,10.5433,11.7676,15.9428,4.02767,3.94673,10.9953,29.6888,19.4599,5.14795,8.37061,6.6645,67.085,22.1172,10.5835,4.53476,7.57518,12.3034,4.66945,13.5999,15.399,12.0871,17.2389,4.25088,27.1423,19.6191,3.89414,19.8758,8.17577,20.4067,3.65696,10.0292,13.7023,15.3831,4.01544,9.09207
PNOC,38.7316,4.22051,20.2769,18.8766,9.23036,6.6451,15.9976,3.00312,0.00786527,0.124319,0.476739,1.05327,1.01455,4.85415,2.55405,1.61012,0.20987,1.33245,1.11285,1.3115,12.8407,4.33384,1.96522,0.296498,7.89741,4.11218,1.1907,0.88771,12.2898,7.32078,6.62769,3.73816,3.52767,3.10458,0.64969,1.00938,10.6382,4.71914,0.753499,0.826344
PTCD2,0.370522,0.285929,0.627743,0.341718,0.50056,0.335708,0.50019,0.431629,0.344949,0.28403,0.540933,0.425603,0.442263,0.207831,0.3603,0.191416,0.250714,0.2795,1.03886,0.646276,0.266409,0.353926,0.375725,0.389621,0.400395,0.423924,0.598836,0.337196,0.504679,0.267103,0.663176,0.544186,0.501905,0.603715,0.326081,0.304236,0.421203,0.495921,0.378503,0.393765
RICTOR,3.45353,5.05099,3.83194,5.14146,5.81536,6.6452,5.52943,7.95186,6.01916,6.75707,9.00957,8.57598,6.75779,5.27699,5.34356,4.25563,4.78472,4.93552,6.77714,3.88926,5.35559,7.19121,6.30776,8.19336,7.20743,10.1721,6.01192,7.65919,6.43937,5.8616,5.53313,6.7543,6.06165,6.11793,3.90167,5.65318,6.42469,8.82269,4.63061,7.36032
IFI27,38.8174,8.25509,17.096,12.8674,20.1378,8.24034,31.8347,17.5197,9.23941,12.9291,2.28418,10.0883,25.6532,12.4448,13.8169,20.6521,30.9452,47.8597,18.0879,2.08596,15.1282,8.02098,9.13411,3.31598,4.05298,9.36286,38.2083,30.0392,11.2026,16.2823,33.6915,25.3004,10.591,5.21089,2.32957,2.28076,3.53353,1.33288,28.9178,10.1882
GMIP,3.75607,4.26992,1.9041,4.84876,4.58651,6.33514,2.906,1.41485,1.97222,3.03288,1.2639,5.02929,3.22684,6.37247,8.12361,9.35425,3.94264,4.88489,2.62766,4.67783,4.45959,3.109,2.60112,1.56894,6.25766,8.83844,3.87932,5.18004,5.56188,6.13606,2.44403,3.16639,3.7851,3.41665,3.97647,1.98676,2.24621,2.4979,5.05773,5.39514
LAIR1,0.613537,1.01184,0.233622,1.26934,2.71876,1.28935,0.444142,0.283642,0.368462,1.40721,0.20254,2.3892,1.01984,1.39109,2.51708,2.51575,0.388879,2.49507,0.825878,0.683238,1.12869,1.33419,0.560011,0.626616,1.40828,3.06813,0.753744,1.42464,0.617425,2.24979,0.445494,1.17068,2.48326,1.31126,1.0479,0.662056,0.576713,0.604685,1.84488,1.12362
HELLS,2.40562,0.884668,3.04353,1.03942,4.22,0.608884,3.11294,1.51946,3.21365,1.33391,4.57567,1.89776,7.1583,1.33394,1.98089,0.718559,2.97256,0.928459,3.74371,3.50444,2.46861,1.74418,7.187,2.11408,2.40013,1.94629,3.07023,2.77227,1.87331,0.666023,1.92953,1.51443,2.00548,0.597764,2.13358,1.14512,2.73114,2.04899,2.71927,1.07313
MICA,8.23016,8.23077,13.2467,13.9422,20.6318,18.129,3.09706,3.21302,5.01917,7.56321,6.02298,6.92478,10.725,10.1762,7.66359,7.74572,5.19048,9.31334,9.74204,10.0086,11.0558,12.2875,12.7817,12.2752,7.88488,6.04248,7.81293,10.9876,9.44694,7.40181,8.96176,7.28915,5.08724,7.32944,15.3124,14.4905,4.5099,4.25109,8.23962,9.70016
NFIL3,10.0305,50.9747,13.1363,13.2292,19.9736,72.3762,24.9527,73.6648,16.345,45.5717,13.31,74.3241,19.876,31.1088,11.1952,50.0576,12.9083,36.9307,24.4126,24.6731,10.7431,48.1324,16.9456,19.8289,17.2028,54.3911,15.3263,50.4036,9.69974,34.1201,13.7419,47.5909,44.0409,32.4771,18.2451,31.5728,35.7037,34.7778,20.6937,63.9215
CDK2,3.9565,2.39972,3.37141,2.81727,3.09976,3.38451,6.02517,3.45934,3.41869,2.11769,5.77889,4.64821,4.32179,2.74588,3.98812,3.38836,4.97181,3.1481,1.99691,2.70199,4.30403,3.00432,5.90478,4.12948,4.45763,3.16889,7.07882,5.72151,2.65952,2.46382,6.81082,5.21534,4.00148,1.91017,7.18361,4.24451,3.11348,2.69663,4.2434,2.45457
WNT2B,0.242387,0.403495,0.342858,0.319147,0.245042,0.19831,0.671814,0.716658,0.204914,0.236281,0.368015,0.73345,0.146427,0.346813,0.386584,0.440628,0.21376,0.185329,0.329589,0.329982,0.233052,0.206073,0.686501,1.12493,0.225662,0.136054,0.800383,0.669199,0.399862,0.25516,2.07131,0.538494,0.571542,0.275389,0.416484,0.390853,7.97746,4.64327,0.209949,0.322366
TNFSF4,3.55555,1.62122,0.222036,0.991686,1.51009,0.665067,0.323048,0.413484,0.434446,0.363205,0.290954,0.581783,0.293915,0.467518,1.45602,1.65276,0.504572,0.985543,0.857585,0.424878,1.19512,1.18032,1.20792,0.595541,1.1653,1.06472,0.386286,1.393,0.352262,1.49424,0.742691,0.827347,1.25776,0.803943,0.987777,1.01371,1.46163,0.256561,1.71584,0.661446
PGPEP1,0.48521,0.520592,0.816099,0.851126,0.671585,0.865397,0.513755,0.564813,0.737884,1.40172,0.309055,0.681083,1.1203,1.15778,0.838116,0.971285,1.16125,0.91859,1.30233,1.35663,0.707047,0.558045,0.694419,0.960559,1.11321,1.35656,0.366964,0.487317,1.27079,1.09393,0.396205,0.455427,0.556067,0.653045,0.609796,0.589543,0.344376,0.462837,0.550305,0.544232
DEFB134,0.113087,0.16308,0,0.0178632,0.0298851,0,0.0479491,0.0451266,0,0.0210584,0.0273325,0.0196255,0.0727083,0,0.0139969,0.0497258,0.0237,0,0.102652,0.0788292,0,0,0.250122,0.0225496,0,0.0199537,0.137106,0,0,0.0245338,0.163863,0.0990328,0.0733059,0.0259406,0.0336268,0.03652,0.581105,0.0865469,0.130604,0
ITGA6,13.0317,8.32919,4.21044,6.27211,13.5756,10.7308,7.13831,12.4008,2.59154,3.43221,7.82852,9.18057,12.6489,9.39519,14.2447,10.8932,7.5784,9.79644,5.96689,2.82305,8.15147,9.97255,11.5786,12.6121,9.30192,15.4255,16.2657,10.0842,7.02102,8.31945,25.7328,20.3968,9.27198,4.8225,7.08634,9.06784,15.7955,12.2683,5.58927,10.9238
C5,0.761057,1.52258,0.67345,0.633692,1.06505,1.03642,4.19627,4.44845,1.41353,1.88997,0.234583,2.44154,0.475447,0.734457,1.07774,0.894196,1.95658,1.40411,3.40662,2.20687,1.07577,2.21015,2.93096,2.77214,0.890459,2.46606,0.959717,0.731536,2.3208,1.62835,2.41092,2.93572,1.58986,1.0517,0.791601,1.09255,1.46191,1.48842,1.40649,2.45729
MAPK10,0.236007,0.486004,0.0906394,0.302412,0.14744,0.167295,0.361843,0.658862,0.133962,0.261577,0.247446,0.578483,0.0989334,0.139991,0.377872,0.3711,0.0418438,0.275173,0.231368,0.0592245,0.287503,0.480251,0.258574,0.53987,0.184259,0.46173,0.105505,0.37355,0.0600831,0.245456,0.231672,0.56216,0.673137,0.265703,0.157057,0.289008,0.185144,0.426983,0.244489,1.08426
ROR2,2.00268,8.9487,2.20731,7.12826,1.88627,4.63312,3.27172,2.30731,4.42938,13.7887,0.863819,3.12619,0.849599,3.03517,2.81941,6.68656,1.70466,6.07867,3.82223,4.88242,3.96573,3.40302,7.02172,5.433,4.62102,2.52247,1.95148,5.49094,0.877543,5.60582,2.66514,5.42626,6.73726,3.72222,8.45614,5.12084,8.06853,4.07456,10.1233,4.58538
TLR2,4.97739,9.47018,2.20471,8.05244,21.3516,13.9803,3.65152,5.7923,2.92517,7.91495,5.23728,33.8406,18.3774,22.9021,10.3555,11.5369,6.42615,16.9717,9.77594,4.36521,6.96632,23.0659,6.42302,5.04786,4.98869,19.264,4.34284,6.07991,6.25279,9.78622,4.13218,11.0423,20.4593,12.7929,7.94749,5.27072,7.09801,4.70576,10.5142,12.1245
IL12RB2,0.386843,0.446284,0.106577,0.211354,1.57313,0.78597,0.142796,0.582963,0.42465,0.635608,0.336592,0.639749,0.83686,1.42138,0.939577,1.0286,0.160236,0.721018,0.773352,1.104,0.410197,0.514094,0.292316,0.160626,0.327802,1.51289,0.35514,0.713213,1.31844,0.669418,0.564733,0.613766,1.33936,0.695277,0.243591,0.10582,0.459926,0.886077,0.260174,0.71413
AQP9,0.504015,1.02294,0.456577,1.43895,4.34608,4.37568,0.685961,0.625719,0.232238,1.61986,0.527876,1.41246,6.18499,2.13916,0.438989,1.48295,0.250378,1.72238,2.53494,0.79375,0.472282,1.16478,1.82987,5.33026,0.796767,1.40972,1.23859,1.16528,1.05972,1.60371,1.49998,2.63736,1.91189,1.78988,0.932528,0.343615,1.50279,5.78879,3.33082,1.42431
CST2,0.107933,0.0259412,0.421261,3.60588,0,0.0913722,0.228819,2.6488,0.0419622,0.120592,1.6239,0.393352,0.0346972,0,1.58304,7.37994,0.135719,2.40162,0.235137,0.0564273,5.22248,4.48498,0.0716168,1.00077,13.2687,6.9702,0.267662,0.126858,0.236878,1.63324,58.9894,16.3518,0.27986,1.00271,0.433272,0.392125,55.5082,88.4424,0.0701164,0.545625
SFXN1,5.15263,2.19988,3.08024,2.3593,3.1564,2.45403,1.60397,2.35218,6.23794,3.86529,5.25732,2.83542,3.00881,1.922,4.41782,3.03285,1.87607,2.34382,3.8572,4.55785,3.19974,2.844,3.98875,3.09531,4.22659,3.34604,2.60951,2.62985,2.38811,2.57882,3.48607,2.68451,3.20618,2.06466,2.93824,2.59074,3.91478,2.43341,3.618,2.23328
RBL2,18.8444,22.7709,9.59905,14.2008,30.7887,34.1162,20.9944,31.067,14.5191,16.2922,6.03061,18.7452,16.3788,17.4327,25.7736,19.6728,12.5949,17.5044,18.6804,9.46959,20.1673,25.7101,13.4653,20.839,26.6253,38.9501,10.6413,20.5514,22.3295,22.7231,26.2308,30.662,26.2693,27.7351,23.1031,35.3917,13.06,16.4974,15.9339,26.8729
CTAG1B,0.0806793,0.116345,0.0629781,0.267626,0.143916,0.091067,0.136833,0.289751,0,0.157748,0.833614,5.33452,0.622464,0.380817,22.1235,26.926,0.126812,0.161568,0.0659114,0.0843583,0.0765446,0.065097,0,0.156853,0.0717418,0.0427065,0.546875,0.426716,0.035413,0.210037,0.398538,0.0706526,0,0.499682,0.143942,0.0390815,0.276384,0.111141,0.31447,0.114198
TGFB3,3.37949,14.0198,1.36858,7.87731,1.91932,3.4632,4.03994,3.30521,4.7873,7.56544,1.58015,3.4251,1.20624,3.50292,5.16543,14.5574,1.95993,7.27362,6.13086,2.3643,13.004,13.6009,3.68569,1.55603,4.61878,4.34971,3.86566,2.77643,2.45971,11.1655,2.78111,9.82194,9.33094,7.2616,6.24867,10.8978,2.94691,5.75584,6.08153,6.20908
